cluster_id,sequence_id,sequence,line_frequency,sequence_length,artifacts,artifact_count
CL_183,SEQ_045,AB86,5,1,"HT 11B,KH WA 1013,KH WA 1014,KH WA 1015,KH WA 1016",5
CL_184,SEQ_046,BOSM,5,1,"HT 114,HT 121,HT 30,KH 87,KH WC 2069",5
CL_001,SEQ_047,AB01 AB27,5,2,"HT 10A,HT 10B,HT 122B,HT 7A,HT 85A",5
CL_185,SEQ_048,AB01 AB77,5,2,"HT WA 1001,HT WA 1002,HT WA 1003,HT WA 1004,HT WA 1005",5
CL_186,SEQ_049,AB41 AB77,5,2,"HT WA 1014,HT WA 1015,HT WA 1016,HT WA 1017,HT WA 1018",5
CL_005,SEQ_050,AB77 AB03,5,2,"HT 102,HT 140,HT 6A,HT 8B,HT 94A",5
CL_187,SEQ_051,AB80 AB07,5,2,"HT 118,HT 3,HT 69,HT 85B,PH 31A",5
CL_005,SEQ_052,AB81 AB03,5,2,"HT 110A,HT WA 1020,KH 29,ZA 11A,ZA 11B",5
CL_002,SEQ_053,DA RE,5,2,"HT 10,HT 122,HT 7,HT 85,PK 3",5
CL_082,SEQ_054,KA PA,5,2,"HT 102,HT 140,HT 6,HT 8,HT 94",5
